Text,Category,Cleaned_Text
Detectives are looking for clues in the cybercrime mystery,Crime,detect look clue cybercrim mysteri
Oil prices stabilize due to plummet,Business,oil price stabil due plummet
Scientists discover a promising hypertension treatment,Health,scientist discov promis hypertens treatment
A famous scientist gave a guest lecture on online,Education,famou scientist gave guest lectur onlin
Detectives are looking for clues in the robbery mystery,Crime,detect look clue robberi mysteri
Scholarships are announced for minority students,Education,scholarship announc minor student
The manager was sacked after clinched losses,Sports,manag sack clinch loss
Hospitals introduce advanced low-carb surgery,Health,hospit introduc advanc low carb surgeri
Cyber police busted a massive several scam,Crime,cyber polic bust massiv sever scam
Cryptocurrency markets geopolitical events over the weekend,Business,cryptocurr market geopolit event weekend
Detectives are looking for clues in the extortion mystery,Crime,detect look clue extort mysteri
The new strategy movie breaks box office records,Entertainment,new strategi movi break box offic record
Oil prices raised due to conglomerate,Business,oil price rais due conglomer
The president signed the welcomed act into law,Politics,presid sign welcom act law
Court delivers verdict in a high-profile cybercrime case,Crime,court deliv verdict high profil cybercrim case
New guidelines issued for South America prevention,Health,new guidelin issu south america prevent
Protests erupted over the proposed expected changes,Politics,protest erupt propos expect chang
Researchers warn against the overuse of stress,Health,research warn overus stress
Tech stocks record significantly amid surge fears,Business,tech stock record significantli amid surg fear
Government announces a new environmental policy,Politics,govern announc new environment polici
Opposition leaders funding the new Paris,Politics,opposit leader fund new pari
Stock markets raised after raised,Business,stock market rais rais
Voter turnout was unusually legislation during the delay election,Politics,voter turnout unusu legisl delay elect
Voter turnout was unusually regulations during the environmental election,Politics,voter turnout unusu regul environment elect
A thick fog blanketed the city causing flood delays,Weather,thick fog blanket citi caus flood delay
A major merger between rally and paused was announced today,Business,major merger ralli paus announc today
A surprise guest appearance shocked the engagement audience,Entertainment,surpris guest appear shock engag audienc
Doctors recommend regular antibiotics for better health,Health,doctor recommend regular antibiot better health
A category 5 hurricane is approaching the frost,Weather,categori hurrican approach frost
Hospitals introduce advanced plant-based surgery,Health,hospit introduc advanc plant base surgeri
Voter turnout was unusually welcomed during the Geneva election,Politics,voter turnout unusu welcom geneva elect
Global trade quarterly following new inflation fears agreements,Business,global trade quarterli follow new inflat fear agreement
Scholarships are announced for humanities students,Education,scholarship announc human student
Scholarships are announced for biology students,Education,scholarship announc biolog student
Small businesses receive tech company funding,Business,small busi receiv tech compani fund
Students prepare for final arts examinations,Education,student prepar final art examin
Record-breaking cold temperatures hit the hail,Weather,record break cold temperatur hit hail
Snowfall disrupts coast in mountain areas,Weather,snowfal disrupt coast mountain area
The debate team won the literature championship,Education,debat team literatur championship
The gaming convention showcased highly anticipated pregnancy titles,Entertainment,game convent showcas highli anticip pregnanc titl
